Date,Open,High,Low,Close,Volume,Ticker
2024-11-22,342.45,352.39,340.69,351.97,563405,NASDAQ:DUOL
2024-11-25,359.53,364.95,341.1,348,1071627,NASDAQ:DUOL
2024-11-26,348.47,358.73,346.98,353.53,875653,NASDAQ:DUOL
2024-11-27,352.88,353.23,340.29,347.64,468361,NASDAQ:DUOL
2024-11-29,346.48,353.66,345.58,348.27,230258,NASDAQ:DUOL
2024-12-02,347.39,349.78,340,346.52,423963,NASDAQ:DUOL
2024-12-03,341.52,361.1,341.29,360.98,494917,NASDAQ:DUOL
2024-12-04,363,370.17,361.92,364.65,581906,NASDAQ:DUOL
2024-12-05,366.53,378.48,362.61,373.03,583796,NASDAQ:DUOL
2024-12-06,374.79,374.79,366,368.5,552089,NASDAQ:DUOL
2024-12-09,365.36,369.89,350,360.61,532518,NASDAQ:DUOL
2024-12-10,361.47,370.81,358.7,361.83,379649,NASDAQ:DUOL
2024-12-11,351.16,352.72,318.03,344.35,1226965,NASDAQ:DUOL
2024-12-12,341.12,344.74,336.21,339.52,424068,NASDAQ:DUOL
2024-12-13,340.5,344.88,333.97,338.07,517811,NASDAQ:DUOL
2024-12-16,341.42,350.86,337.87,348.72,639007,NASDAQ:DUOL
2024-12-17,352.3,360.21,348.65,354.04,649615,NASDAQ:DUOL
2024-12-18,352.44,352.88,331.32,332.81,572099,NASDAQ:DUOL
2024-12-19,345.16,345.74,332.87,335.22,436154,NASDAQ:DUOL
2024-12-20,327.72,345.53,324.83,342.12,1263587,NASDAQ:DUOL
2024-12-23,342.12,344.12,336.14,337.73,373777,NASDAQ:DUOL
2024-12-24,336.34,342.49,335,340.39,114492,NASDAQ:DUOL
2024-12-26,339.51,345,336.54,341.88,274237,NASDAQ:DUOL
2024-12-27,339.46,339.46,326.43,333.34,293041,NASDAQ:DUOL
2024-12-30,328.23,329.4,321.25,325.2,535940,NASDAQ:DUOL
2024-12-31,326.37,328.77,320.9,324.23,344613,NASDAQ:DUOL
2025-01-02,327.3,328.95,319.04,325.88,466373,NASDAQ:DUOL
2025-01-03,328.34,341.97,326.58,340.06,344127,NASDAQ:DUOL
2025-01-06,344.1,347.04,332.27,336.72,613317,NASDAQ:DUOL
2025-01-07,336,336.73,311.67,320.35,639747,NASDAQ:DUOL
2025-01-08,318.37,325.21,314.23,323.14,425592,NASDAQ:DUOL
2025-01-10,316.91,319.36,305.82,318.67,535196,NASDAQ:DUOL
2025-01-13,311.56,317.25,305.01,316.38,399357,NASDAQ:DUOL
2025-01-14,320,325,311.78,312.52,428770,NASDAQ:DUOL
2025-01-15,316.91,323.72,315.98,319.98,330440,NASDAQ:DUOL
2025-01-16,327.67,355.78,327.4,341.8,932593,NASDAQ:DUOL
2025-01-17,351.81,356,340.54,351.13,742815,NASDAQ:DUOL
2025-01-21,353,353.01,325.73,337.28,795263,NASDAQ:DUOL
2025-01-22,338.8,343.5,328.88,336.04,443300,NASDAQ:DUOL
2025-01-23,335.85,337.86,330,335.99,403933,NASDAQ:DUOL
2025-01-24,330.5,335.52,325,328.6,445064,NASDAQ:DUOL
2025-01-27,320,334.23,311.58,326.82,752023,NASDAQ:DUOL
2025-01-28,327,351.51,325.03,350.72,581055,NASDAQ:DUOL
2025-01-29,354.77,363.96,346.19,358.48,457242,NASDAQ:DUOL
2025-01-30,360,370.77,359.44,363.28,504782,NASDAQ:DUOL
2025-01-31,368.44,368.44,361,363.99,512309,NASDAQ:DUOL
2025-02-03,354.96,365.84,352,364.44,577573,NASDAQ:DUOL
2025-02-04,367.59,387.88,366.74,386.16,781406,NASDAQ:DUOL
2025-02-05,389.41,411.69,385.93,392,748701,NASDAQ:DUOL
2025-02-06,390,392.71,380.17,389.36,394787,NASDAQ:DUOL
2025-02-07,394.81,400.2,391.76,393.8,717372,NASDAQ:DUOL
2025-02-10,398.08,403.63,394,401.45,487009,NASDAQ:DUOL
2025-02-11,399,399.98,381.24,383.66,574434,NASDAQ:DUOL
2025-02-12,377.7,399.73,373.3,398.11,1180667,NASDAQ:DUOL
2025-02-13,400.98,431.37,399.14,430.32,1514047,NASDAQ:DUOL
2025-02-14,432,436.98,417.74,432.69,724307,NASDAQ:DUOL
2025-02-18,435,441.77,426.4,441.39,666305,NASDAQ:DUOL
2025-02-19,439.43,440.71,429.21,432.52,822127,NASDAQ:DUOL
2025-02-20,430.43,430.95,415.99,421.78,946116,NASDAQ:DUOL
2025-02-21,418.92,420.48,383.43,385.35,1079742,NASDAQ:DUOL
2025-02-24,390.26,397.3,372.01,389.9,1241009,NASDAQ:DUOL
2025-02-25,382.95,389.74,370.19,385.81,683760,NASDAQ:DUOL
2025-02-26,388.75,400.91,383.78,386.56,858255,NASDAQ:DUOL
2025-02-27,391.32,412.88,372.84,375.78,1502752,NASDAQ:DUOL
2025-02-28,325.06,329.61,303.68,312.07,3455444,NASDAQ:DUOL
2025-03-03,312.33,324.25,291.77,295.23,1947065,NASDAQ:DUOL
